country,country_code,year,account_pct,bank_account_pct,mobile_account_pct,digital_account_pct,country_name,poverty_headcount,gini
Dominican Republic,DOM,2024,0.474303767,0.452145409,0.170607028,0.368014177,Dominican Republic,0.007753300784,0.389712571405
Ecuador,ECU,2024,0.657733737,0.650776316,0.093464961,0.352532856,Ecuador,0.073132636601,0.451954747261
Ecuador,ECU,2024,0.605153389,0.603927523,0.124079055,0.482790649,Ecuador,0.073132636601,0.451954747261
Honduras,HND,2024,0.428835696,0.40226972,0.095671811,0.210249595,Honduras,0.157173706393,0.45676117381
Honduras,HND,2024,0.411686514,0.365140906,0.14713021,0.282643793,Honduras,0.157173706393,0.45676117381
Indonesia,IDN,2024,0.547250177,0.529377829,0.17093372,0.343807714,Indonesia,0.054381132299,0.348943937896
Indonesia,IDN,2024,0.619926628,0.504626426,0.393997695,0.479323215,Indonesia,0.054381132299,0.348943937896
Panama,PAN,2024,0.658787018,0.633647321,0.36610663,0.491828392,Panama,0.031258316921,0.497335432231
Panama,PAN,2024,0.575227278,0.516669928,0.433699337,0.483757286,Panama,0.031258316921,0.497335432231
Paraguay,PRY,2024,0.65079302,0.508153407,0.365891925,0.485327038,Paraguay,0.021053328962,0.442453362094
Paraguay,PRY,2024,0.472972593,0.283105137,0.338516895,0.431086186,Paraguay,0.021053328962,0.442453362094
Peru,PER,2024,0.609900311,0.53848169,0.411898343,0.475353886,Peru,0.051405638887,0.401258629673
Peru,PER,2024,0.52985689,0.346787819,0.474189229,0.49496543,Peru,0.051405638887,0.401258629673
Tajikistan,TJK,2024,0.637446312,0.624216543,0.162653536,0.321261833,Tajikistan,0.0613354089,0.361080032292
Tajikistan,TJK,2024,0.297660846,0.257833561,0.095061351,0.165485765,Tajikistan,0.0613354089,0.361080032292
Argentina,ARG,2024,0.76653411,0.716504108,0.493645815,0.632303527,Argentina,0.009636804608,0.423533182338
Argentina,ARG,2024,0.842549103,0.735147634,0.603766815,0.75291243,Argentina,0.009636804608,0.423533182338
Dominican Republic,DOM,2024,0.655086458,0.632327617,0.173169561,0.373572022,Dominican Republic,0.007753300784,0.389712571405
Dominican Republic,DOM,2024,0.643933991,0.633232264,0.183836515,0.440973892,Dominican Republic,0.007753300784,0.389712571405
Ecuador,ECU,2024,0.62558797,0.624963982,0.066387054,0.323428915,Ecuador,0.073132636601,0.451954747261
Ecuador,ECU,2024,0.662579741,0.65254621,0.131881635,0.438448263,Ecuador,0.073132636601,0.451954747261
Honduras,HND,2024,0.372737884,0.352400868,0.085403352,0.166943973,Honduras,0.157173706393,0.45676117381
Honduras,HND,2024,0.497313261,0.449593882,0.142011483,0.316133272,Honduras,0.157173706393,0.45676117381
Indonesia,IDN,2024,0.560297534,0.523423367,0.202215571,0.361561381,Indonesia,0.054381132299,0.348943937896
Indonesia,IDN,2024,0.566660992,0.524481542,0.240455438,0.387462546,Indonesia,0.054381132299,0.348943937896
Panama,PAN,2024,0.558745139,0.53091912,0.264968437,0.371592745,Panama,0.031258316921,0.497335432231
