country,country_code,year,account_pct,bank_account_pct,mobile_account_pct,country_name,poverty_headcount,gini
"Iran, Islamic Rep.",IRN,2017,0.916112579,0.913281457,0.220247368,"Iran, Islamic Rep.",0.026673317587,0.36693677284
Lesotho,LSO,2017,0.446041833,0.336576848,0.242706826,Lesotho,0.418584923481,0.448776131498
Lesotho,LSO,2017,0.464600602,0.330074832,0.307903238,Lesotho,0.418584923481,0.448776131498
Paraguay,PRY,2017,0.512244106,0.329226583,0.309488006,Paraguay,0.023750721313,0.48547492851
Paraguay,PRY,2017,0.460494493,0.292108797,0.267988058,Paraguay,0.023750721313,0.48547492851
Turkiye,TUR,2017,0.829945648,0.822715499,0.185378245,Türkiye,0.007297743292,0.414056667367
Turkiye,TUR,2017,0.542938244,0.531578308,0.143019856,Türkiye,0.007297743292,0.414056667367
Zimbabwe,ZWE,2017,0.592274998,0.334506396,0.511731725,Zimbabwe,0.446568730815,0.443370820756
Zimbabwe,ZWE,2017,0.51664926,0.233400166,0.462018599,Zimbabwe,0.446568730815,0.443370820756
Argentina,ARG,2021,0.695619457,0.658853273,0.369361219,Argentina,0.013630346643,0.42445560063
Argentina,ARG,2021,0.737532007,0.667785464,0.331774729,Argentina,0.013630346643,0.42445560063
Armenia,ARM,2021,0.593752986,0.562163781,0.181430467,Armenia,0.021180894605,0.279401304413
Armenia,ARM,2021,0.521827202,0.491276006,0.156423316,Armenia,0.021180894605,0.279401304413
Benin,BEN,2021,0.581742451,0.30613293,0.443281869,Benin,0.272234156775,0.343958073714
Benin,BEN,2021,0.397870226,0.174983155,0.296385905,Benin,0.272234156775,0.343958073714
Bolivia,BOL,2021,0.740406786,0.729068711,0.160642492,Bolivia,0.030546807793,0.409133239264
Bolivia,BOL,2021,0.63289646,0.626007214,0.095784099,Bolivia,0.030546807793,0.409133239264
Brazil,BRA,2021,0.870474204,0.864401769,0.302943215,Brazil,0.074646967133,0.529388097112
Brazil,BRA,2021,0.808668081,0.805359705,0.234518247,Brazil,0.074646967133,0.529388097112
Burkina Faso,BFA,2021,0.423501439,0.256993092,0.310600329,Burkina Faso,0.4206163413,0.37391286077
Burkina Faso,BFA,2021,0.306802229,0.1701145,0.191035742,Burkina Faso,0.4206163413,0.37391286077
Cameroon,CMR,2021,0.541474459,0.2690017,0.462621997,Cameroon,0.266917996676,0.421760724554
Cameroon,CMR,2021,0.492549796,0.202948237,0.387464139,Cameroon,0.266917996676,0.421760724554
Chad,TCD,2022,0.248595312,0.19463032,0.118964489,Chad,0.394753751496,0.37357686373
Chad,TCD,2022,0.225617475,0.172835498,0.122583976,Chad,0.394753751496,0.37357686373
Colombia,COL,2021,0.635124352,0.60513652,0.216564103,Colombia,0.112283738229,0.551170224126
Colombia,COL,2021,0.562042923,0.517156361,0.218678768,Colombia,0.112283738229,0.551170224126
Cote d'Ivoire,CIV,2021,0.640095413,0.272896428,0.508939172,Côte d'Ivoire,0.209026087195,0.352753624351
Cote d'Ivoire,CIV,2021,0.374442613,0.138214644,0.298418787,Côte d'Ivoire,0.209026087195,0.352753624351
El Salvador,SLV,2021,0.447976506,0.409147216,0.120277009,El Salvador,0.051309082352,0.390106330774
El Salvador,SLV,2021,0.292329768,0.231715435,0.100987335,El Salvador,0.051309082352,0.390106330774
"Iran, Islamic Rep.",IRN,2021,0.948362972,0.948362972,0.165481319,"Iran, Islamic Rep.",0.0370868413,0.354687290219
"Iran, Islamic Rep.",IRN,2021,0.850800161,0.843474389,0.081790813,"Iran, Islamic Rep.",0.0370868413,0.354687290219
Jamaica,JAM,2021,0.751055911,0.738239949,0.126623875,Jamaica,0.013869244053,0.39874473579
Jamaica,JAM,2021,0.715532327,0.715532327,0.126579464,Jamaica,0.013869244053,0.39874473579
Kenya,KEN,2021,0.832449956,0.566988435,0.714192115,Kenya,0.464498496563,0.387019625737
Kenya,KEN,2021,0.753574332,0.447684844,0.660427561,Kenya,0.464498496563,0.387019625737
Kyrgyz Republic,KGZ,2021,0.465361892,0.42668602,0.10830304,Kyrgyz Republic,0.056484836659,0.287933039694
Kyrgyz Republic,KGZ,2021,0.437560736,0.393932211,0.119859307,Kyrgyz Republic,0.056484836659,0.287933039694
Malaysia,MYS,2021,0.892317012,0.888134487,0.269605928,Malaysia,0.000130829415,0.406684269677
Malaysia,MYS,2021,0.875146527,0.875146527,0.290011815,Malaysia,0.000130829415,0.406684269677
Mali,MLI,2021,0.45927838,0.286048343,0.325900939,Mali,0.361030773406,0.356535942464
Mali,MLI,2021,0.412116644,0.2829016,0.263480562,Mali,0.361030773406,0.356535942464
Mexico,MEX,2022,0.562709551,0.540508782,0.204208145,Mexico,0.023303961168,0.434540071467
