country,country_code,year,account_pct,bank_account_pct,mobile_account_pct,digital_account_pct
Peru,PER,2024,0.609900311,0.53848169,0.411898343,0.475353886
Peru,PER,2024,0.52985689,0.346787819,0.474189229,0.49496543
Philippines,PHL,2024,0.481663078,0.377831632,0.212478888,0.262929475
Philippines,PHL,2024,0.551122807,0.231498436,0.472666338,0.485303273
Saudi Arabia,SAU,2024,0.823060142,0.811984045,0.378852373,0.780506114
Saudi Arabia,SAU,2024,0.648997344,0.648997344,0.309328521,0.608884166
Senegal,SEN,2024,0.827972701,0.531368631,0.732628322,0.804598666
Senegal,SEN,2024,0.632600737,0.374510127,0.536829656,0.591957109
Sierra Leone,SLE,2024,0.398267675,0.169175034,0.325941177,0.339470661
Sierra Leone,SLE,2024,0.364963362,0.116601354,0.314941628,0.33603685
South Africa,ZAF,2024,0.857841304,0.834676936,0.335288187,0.712074904
South Africa,ZAF,2024,0.666012889,0.627343706,0.256812746,0.570072557
Tajikistan,TJK,2024,0.637446312,0.624216543,0.162653536,0.321261833
Tajikistan,TJK,2024,0.297660846,0.257833561,0.095061351,0.165485765
Tanzania,TZA,2024,0.63090052,0.250943973,0.550279834,0.577660049
Tanzania,TZA,2024,0.531513813,0.154978357,0.484053044,0.494477776
Thailand,THA,2024,0.926185771,0.925316513,0.373549837,0.66919457
Thailand,THA,2024,0.881285982,0.845386422,0.61810101,0.799948609
Togo,TGO,2024,0.611008581,0.383845494,0.494553553,0.536570882
Togo,TGO,2024,0.490469009,0.188554406,0.446457493,0.459883271
Turkiye,TUR,2024,0.855706061,0.855128626,0.235295816,0.666549358
Turkiye,TUR,2024,0.652395251,0.652395251,0.224813664,0.562233512
Uganda,UGA,2024,0.769347109,0.328817601,0.709263706,0.729683623
Uganda,UGA,2024,0.667441953,0.162377747,0.630165877,0.644871116
"Venezuela, RB",VEN,2024,0.903803014,0.897369645,0.343047155,0.845792323
"Venezuela, RB",VEN,2024,0.7639221,0.743745235,0.317233169,0.690927944
Viet Nam,VNM,2024,0.701939598,0.696939358,0.358770913,0.60894158
Viet Nam,VNM,2024,0.721566679,0.705755011,0.51533893,0.710551196
Zambia,ZMB,2024,0.796105946,0.298350603,0.757737855,0.771095343
Zambia,ZMB,2024,0.615157676,0.1474064,0.588449192,0.591846582
Zimbabwe,ZWE,2024,0.546643548,0.270889484,0.464312913,0.507094492
Zimbabwe,ZWE,2024,0.382340721,0.094444905,0.365287049,0.373988962
Argentina,ARG,2024,0.76653411,0.716504108,0.493645815,0.632303527
Argentina,ARG,2024,0.842549103,0.735147634,0.603766815,0.75291243
Armenia,ARM,2024,0.712492177,0.707596582,0.1454593,0.469594177
Armenia,ARM,2024,0.71520665,0.702650956,0.206940932,0.46747302
Bangladesh,BGD,2024,0.444714354,0.327370547,0.21903702,0.245882067
Bangladesh,BGD,2024,0.417634363,0.332178716,0.19314591,0.205911857
Belize,BLZ,2024,0.666719355,0.66208454,0.12794104,0.427675808
Belize,BLZ,2024,0.743023577,0.726600462,0.179285243,0.444564263
Benin,BEN,2024,0.511172832,0.195038676,0.443153737,0.464480998
Benin,BEN,2024,0.534367978,0.207893547,0.460966635,0.503222563
Bolivia,BOL,2024,0.490134233,0.45592536,0.14432211,0.233106519
Bolivia,BOL,2024,0.639133239,0.606063284,0.249777123,0.430579302
Botswana,BWA,2024,0.606190989,0.400505846,0.51207641,0.549473458
Botswana,BWA,2024,0.635417354,0.455927809,0.526707058,0.594563415
Brazil,BRA,2024,0.854248783,0.84320602,0.49772362,0.628831851
Brazil,BRA,2024,0.87090982,0.865021774,0.643971642,0.767484633
Burkina Faso,BFA,2024,0.471039249,0.16236978,0.398802952,0.407039449
Burkina Faso,BFA,2024,0.675258779,0.366086136,0.600826224,0.606782634
Cambodia,KHM,2024,0.34038205,0.321268427,0.13900793,0.277180298
Cambodia,KHM,2024,0.652417728,0.642602735,0.325789293,0.55952109
Cameroon,CMR,2024,0.492609974,0.145043911,0.437101854,0.44446547
Cameroon,CMR,2024,0.733024409,0.279463668,0.672184824,0.688740393
Chad,TCD,2024,0.19330905,0.14258575,0.124152435,0.145834016
Chad,TCD,2024,0.336991074,0.210740632,0.208544647,0.267887445
Colombia,COL,2024,0.515262555,0.380214142,0.342890906,0.382684655
Colombia,COL,2024,0.604875049,0.466981637,0.421559219,0.507973264
Comoros,COM,2024,0.457919737,0.411278424,0.148931986,0.244466488
Comoros,COM,2024,0.438257942,0.394714355,0.101671004,0.16702828
"Congo, Dem. Rep.",COD,2024,0.298592759,0.102263027,0.25244587,0.25962539
"Congo, Dem. Rep.",COD,2024,0.477201308,0.164898303,0.440962007,0.448666863
"Congo, Rep.",COG,2024,0.466698773,0.118343819,0.438586689,0.444755603
"Congo, Rep.",COG,2024,0.6312252,0.171650809,0.581449212,0.601645268
Cote d'Ivoire,CIV,2024,0.51429008,0.141141636,0.474610638,0.477668277
